name	score
MUT_CLASS_I_PI3K_SIGNALING_EVENTS_cont	10
MUT_EUKARYOTIC_TRANSLATION_INITIATION_cont	10
MUT_CAP-DEPENDENT_TRANSLATION_INITIATION_cont	10
MUT_REGULATION_OF_FZD_BY_UBIQUITINATION_cont	10
MUT_GAP_JUNCTION_DEGRADATION_cont	10
MUT_REDUCTION_OF_CYTOSOLIC_CAplusplus_LEVELS_cont	10
MUT_MUCIN_CORE_1_AND_CORE_2__I_O__I_-GLYCOSYLATION_cont	10
MUT_REGULATION_OF_IGF_ACTIVITY_BY_IGFBP_cont	10
MUT_BIOCARTA_CTCF_PATHWAY_cont	10
MUT_GLYCOGEN_BREAKDOWN__GLYCOGENOLYSIS__cont	10
MUT_HEDGEHOG_SIGNALING_PATHWAY_cont	10
MUT_REGULATION_OF_P38-ALPHA_AND_P38-BETA_cont	10
MUT_BIOCARTA_CELLCYCLE_PATHWAY_cont	10
MUT_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1_cont	10
MUT_G1_PHASE_cont	10
MUT_MITOCHONDRIAL_PROTEIN_IMPORT_cont	10
MUT_DERMATAN_SULFATE_BIOSYNTHESIS_cont	10
MUT_SIGNALING_BY_TGF-BETA_RECEPTOR_COMPLEX_cont	9
MUT_NONCANONICAL_WNT_SIGNALING_PATHWAY_cont	9
MUT_TRANSLOCATION_OF_GLUT4_TO_THE_PLASMA_MEMBRANE_cont	9
MUT_DNA_DAMAGE_BYPASS_cont	9
MUT_TRANSLESION_SYNTHESIS_BY_POLI_cont	9
MUT_G_BETA:GAMMA_SIGNALLING_THROUGH_PI3KGAMMA_cont	9
MUT_NEGATIVE_REGULATORS_OF_RIG-I_MDA5_SIGNALING_cont	9
MUT_IL12-MEDIATED_SIGNALING_EVENTS_cont	9
MUT_HSF1_ACTIVATION_cont	9
MUT_ATR_SIGNALING_PATHWAY_cont	9
MUT_BIOCARTA_TID_PATHWAY_cont	9
MUT_BIOCARTA_RANMS_PATHWAY_cont	9
MUT_ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY_cont	9
MUT_CANONICAL_NF-KAPPAB_PATHWAY_cont	9
MUT_TOLL-LIKE_RECEPTORS_CASCADES_cont	9
MUT_RETROGRADE_NEUROTROPHIN_SIGNALLING_cont	9
