name	score
MUT_INTEGRIN-LINKED_KINASE_SIGNALING_cont	10
MUT_KINESINS_cont	10
MUT_FAS_SIGNALING_PATHWAY_cont	10
MUT_VALIDATED_TARGETS_OF_C-MYC_TRANSCRIPTIONAL_REPRESSION_cont	10
MUT_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL_cont	10
MUT_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL_cont	10
MUT_CHYLOMICRON-MEDIATED_LIPID_TRANSPORT_cont	10
MUT_ALZHEIMER_DISEASE-AMYLOID_SECRETASE_PATHWAY_cont	10
MUT_ABACAVIR_TRANSPORT_AND_METABOLISM_cont	10
MUT_CADHERIN_SIGNALING_PATHWAY_cont	10
MUT_BIOSYNTHESIS_OF_THE_N-GLYCAN_PRECURSOR__DOLICHOL_LIPID-LINKED_OLIGOSACCHARIDE,_LLO__AND_TRANSFER_TO_A_NASCENT_PROTEIN_cont	10
MUT_P38_MAPK_SIGNALING_PATHWAY_cont	10
MUT_E-CADHERIN_SIGNALING_IN_THE_NASCENT_ADHERENS_JUNCTION_cont	10
MUT_PHASE_1_-_INACTIVATION_OF_FAST_NAplus_CHANNELS_cont	10
MUT_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE_cont	10
MUT_SYNTHESIS_OF_VERY_LONG-CHAIN_FATTY_ACYL-COAS_cont	10
MUT_REGULATION_OF_RAC1_ACTIVITY_cont	10
MUT_FATTY_ACID__BETA_-OXIDATION_cont	9
MUT_CELL_DIVISION_cont	9
MUT_METABOLISM_OF_FAT-SOLUBLE_VITAMINS_cont	9
MUT_SCAVENGING_BY_CLASS_A_RECEPTORS_cont	9
MUT_SURFACTANT_METABOLISM_cont	9
MUT_LIPID_AND_LIPOPROTEIN_METABOLISM_cont	9
MUT_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE_cont	9
MUT_ABORTIVE_ELONGATION_OF_HIV-1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT_cont	9
MUT_NRAGE_SIGNALS_DEATH_THROUGH_JNK_cont	9
MUT_1D-_I_MYO__I_-INOSITOL_HEXAKISPHOSPHATE_BIOSYNTHESIS_II__MAMMALIAN__cont	9
MUT_RNA_POLYMERASE_III_TRANSCRIPTION_cont	9
MUT_RNA_POLYMERASE_III_ABORTIVE_AND_RETRACTIVE_INITIATION_cont	9
MUT_NECTIN_ADHESION_PATHWAY_cont	9
MUT_COHESIN_LOADING_ONTO_CHROMATIN_cont	9
MUT_SYNTHESIS_OF_PE_cont	9
MUT_HORMONE-SENSITIVE_LIPASE__HSL_-MEDIATED_TRIACYLGLYCEROL_HYDROLYSIS_cont	9
MUT_GLUCONEOGENESIS_cont	9
MUT_BMP_RECEPTOR_SIGNALING_cont	9
MUT_THYROXINE_BIOSYNTHESIS_cont	9
MUT_SIGNALING_BY_HIPPO_cont	9
MUT_PHASE_0_-_RAPID_DEPOLARISATION_cont	9
MUT_SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCOSE-DEPENDENT_INSULINOTROPIC_POLYPEPTIDE__GIP__cont	9
MUT_INCRETIN_SYNTHESIS,_SECRETION,_AND_INACTIVATION_cont	9
MUT_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24-HYDROXYCHOLESTEROL_cont	9
MUT_PHOSPHOLIPASES_cont	8
MUT_SIGNALING_BY_RHO_GTPASES_cont	8
MUT_ERBB1_DOWNSTREAM_SIGNALING_cont	8
MUT_BIOCARTA_PROTEASOME_PATHWAY_cont	8
MUT_CDC6_ASSOCIATION_WITH_THE_ORC:ORIGIN_COMPLEX_cont	8
MUT_SIGNAL_REGULATORY_PROTEIN__SIRP__FAMILY_INTERACTIONS_cont	8
MUT_COLLAGEN_DEGRADATION_cont	8
MUT_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM_cont	8
MUT_ACYL_CHAIN_REMODELLING_OF_PS_cont	8
MUT_EICOSANOIDS_cont	8
MUT_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING_cont	8
MUT_BIOCARTA_ARENRF2_PATHWAY_cont	8
MUT_BIOCARTA_ERYTH_PATHWAY_cont	8
MUT_COMPLEX_I_BIOGENESIS_cont	8
MUT_BIOCARTA_THELPER_PATHWAY_cont	8
MUT_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER_cont	8
MUT_PURINE_CATABOLISM_cont	8
MUT_BIOCARTA_SARS_PATHWAY_cont	8
MUT_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION_cont	8
MUT_PROCESSING_OF_CAPPED_INTRONLESS_PRE-MRNA_cont	8
MUT_POST-ELONGATION_PROCESSING_OF_INTRONLESS_PRE-MRNA_cont	8
MUT_RAS_SIGNALING_IN_THE_CD4plus_TCR_PATHWAY_cont	8
MUT_ER_QUALITY_CONTROL_COMPARTMENT__ERQC__cont	8
MUT_SHC-MEDIATED_CASCADE:FGFR2_cont	8
MUT_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE_cont	8
MUT_TGF-BETA_SIGNALING_PATHWAY_cont	8
MUT_BIOCARTA_GRANULOCYTES_PATHWAY_cont	8
MUT_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2_cont	8
MUT_DEFECTIVE_EXT1_CAUSES_EXOSTOSES_1,_TRPS2_AND_CHDS_cont	8
MUT_VALIDATED_TRANSCRIPTIONAL_TARGETS_OF_DELTANP63_ISOFORMS_cont	8
MUT_BIOCARTA_CXCR4_PATHWAY_cont	8
MUT_VITAMIN_B5__PANTOTHENATE__METABOLISM_cont	8
MUT_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES_cont	8
MUT_GRB2:SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS_cont	8
MUT_P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS_cont	8
MUT_ACYL_CHAIN_REMODELLING_OF_PG_cont	8
MUT_MRNA_3-END_PROCESSING_cont	8
MUT_GROWTH_HORMONE_RECEPTOR_SIGNALING_cont	8
MUT_BIOCARTA_STATHMIN_PATHWAY_cont	8
MUT_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES_cont	8
MUT_FATTY_ACYL-COA_BIOSYNTHESIS_cont	8
MUT_BIOCARTA_MAPK_PATHWAY_cont	8
MUT_BIOCARTA_MONOCYTE_PATHWAY_cont	8
MUT_FOXA2_AND_FOXA3_TRANSCRIPTION_FACTOR_NETWORKS_cont	8
MUT_NAplus_CL-_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS_cont	8
MUT_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI-_AND_TRIPHOSPHATES_cont	8
MUT_BIOCARTA_CALCINEURIN_PATHWAY_cont	8
MUT_ALPHA-LINOLENIC_ACID__ALA__METABOLISM_cont	8
MUT_ALPHA-LINOLENIC__OMEGA3__AND_LINOLEIC__OMEGA6__ACID_METABOLISM_cont	8
MUT_SYNTHESIS,_SECRETION,_AND_DEACYLATION_OF_GHRELIN_cont	8
MUT_TRAIL_cont	8
MUT_SYNTHESIS_OF_SUBSTRATES_IN_N-GLYCAN_BIOSYTHESIS_cont	8
MUT_D-_I_MYO__I_-INOSITOL__1,4,5_-TRISPHOSPHATE_DEGRADATION_cont	8
MUT_PEPTIDE_HORMONE_BIOSYNTHESIS_cont	8
MUT_RETINOL_BIOSYNTHESIS_cont	8
MUT_DEFENSINS_cont	8
MUT_BETA_DEFENSINS_cont	8
MUT_PLK1_SIGNALING_EVENTS_cont	7
MUT_PARKINSON_DISEASE_cont	7
MUT_BILE_ACID_BIOSYNTHESIS,_NEUTRAL_PATHWAY_cont	7
MUT_HIV-1_NEF:_NEGATIVE_EFFECTOR_OF_FAS_AND_TNF-ALPHA_cont	7
MUT_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS_cont	7
MUT_DISEASES_OF_METABOLISM_cont	7
MUT_REGULATION_OF_RHOA_ACTIVITY_cont	7
MUT_PI3K_AKT_SIGNALING_IN_CANCER_cont	7
MUT_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION__TRANSAMINATION__cont	7
MUT_PERK_REGULATES_GENE_EXPRESSION_cont	7
MUT_COBALAMIN__CBL,_VITAMIN_B12__TRANSPORT_AND_METABOLISM_cont	7
MUT_DEFECTS_IN_COBALAMIN__B12__METABOLISM_cont	7
MUT_SIGNALING_BY_ROBO_RECEPTOR_cont	7
MUT_GENERAL_TRANSCRIPTION_BY_RNA_POLYMERASE_I_cont	7
MUT_BIOCARTA_RARRXR_PATHWAY_cont	7
MUT_MITOCHONDRIAL_FATTY_ACID_BETA-OXIDATION_cont	7
MUT_THE_NLRP3_INFLAMMASOME_cont	7
MUT_PD-1_SIGNALING_cont	7
MUT_IL9_cont	7
MUT_SIGNAL_TRANSDUCTION_BY_L1_cont	7
MUT_RHO_GTPASE_CYCLE_cont	7
MUT_PHENYLALANINE_AND_TYROSINE_CATABOLISM_cont	7
