name	score
THYROXINE_BIOSYNTHESIS.profile	10
METABOLISM_OF_FOLATE_AND_PTERINES.profile	10
RORA_ACTIVATES_GENE_EXPRESSION.profile	10
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS.profile	10
BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS.profile	10
HEDGEHOG_OFF_STATE.profile	10
REGULATION_OF_PYRUVATE_DEHYDROGENASE__PDH__COMPLEX.profile	10
RETINOL_BIOSYNTHESIS.profile	10
INCRETIN_SYNTHESIS,_SECRETION,_AND_INACTIVATION.profile	10
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCOSE-DEPENDENT_INSULINOTROPIC_POLYPEPTIDE__GIP_.profile	10
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCAGON-LIKE_PEPTIDE-1__GLP-1_.profile	10
TRNA_PROCESSING_IN_THE_NUCLEUS.profile	10
ACTIVATED_POINT_MUTANTS_OF_FGFR2.profile	10
FGFR2_MUTANT_RECEPTOR_ACTIVATION.profile	10
FGFR2_LIGAND_BINDING_AND_ACTIVATION.profile	10
DEFECTS_IN_COBALAMIN__B12__METABOLISM.profile	10
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY.profile	10
DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM.profile	10
VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS.profile	9
AQUAPORIN-MEDIATED_TRANSPORT.profile	9
ACTIVATION_OF_THE_PRE-REPLICATIVE_COMPLEX.profile	9
VEGF_AND_VEGFR_SIGNALING_NETWORK.profile	9
POU5F1__OCT4_,_SOX2,_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION.profile	9
ACYL_CHAIN_REMODELLING_OF_PI.profile	9
BIOCARTA_IL5_PATHWAY.profile	9
DEFECTIVE_B3GALT6_CAUSES_EDSP2_AND_SEMDJL1.profile	9
DEFECTIVE_B3GAT3_CAUSES_JDSSDHD.profile	9
DEFECTIVE_B4GALT7_CAUSES_EDS,_PROGEROID_TYPE.profile	9
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN.profile	9
CALNEXIN_CALRETICULIN_CYCLE.profile	9
COBALAMIN__CBL,_VITAMIN_B12__TRANSPORT_AND_METABOLISM.profile	9
TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS.profile	9
REGULATION_OF_IFNA_SIGNALING.profile	8
VITAMIN_B5__PANTOTHENATE__METABOLISM.profile	8
INTERLEUKIN-6_SIGNALING.profile	8
BIOCARTA_IL4_PATHWAY.profile	8
COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING.profile	8
DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES.profile	8
RIP-MEDIATED_NFKB_ACTIVATION_VIA_ZBP1.profile	8
GLUCAGON-TYPE_LIGAND_RECEPTORS.profile	8
DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM.profile	8
DISEASES_OF_GLYCOSYLATION.profile	8
EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS.profile	8
NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY.profile	8
PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR.profile	8
CLASS_B_2__SECRETIN_FAMILY_RECEPTORS_.profile	8
ANDROGEN_BIOSYNTHESIS.profile	8
REACTIVE_OXYGEN_SPECIES_DEGRADATION.profile	8
ABACAVIR_TRANSPORT_AND_METABOLISM.profile	8
REPRODUCTION.profile	8
FERTILIZATION.profile	8
SYNTHESIS_OF_PE.profile	8
BIOCARTA_DC_PATHWAY.profile	8
TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT.profile	8
PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC.profile	8
ST_STAT3_PATHWAY.profile	7
HORMONE_LIGAND-BINDING_RECEPTORS.profile	7
REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS.profile	7
GLYPICAN_1_NETWORK.profile	7
TRYPTOPHAN_CATABOLISM.profile	7
L-KYNURENINE_DEGRADATION.profile	7
HEPARAN_SULFATE_HEPARIN__HS-GAG__METABOLISM.profile	7
BIOCARTA_TH1TH2_PATHWAY.profile	7
REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA-CARBOXYLATED_PROTEINS.profile	7
KERATAN_SULFATE_DEGRADATION.profile	7
HEDGEHOG_LIGAND_BIOGENESIS.profile	7
WNT_SIGNALING_PATHWAY.profile	7
G_ALPHA__S__SIGNALLING_EVENTS.profile	6
AP-1_TRANSCRIPTION_FACTOR_NETWORK.profile	6
