name	score
METABOLISM_OF_FOLATE_AND_PTERINES.profile	10
REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA-INDUCIBLE_FACTOR.profile	10
THYROXINE_BIOSYNTHESIS.profile	10
POU5F1__OCT4_,_SOX2,_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION.profile	10
IL2.profile	10
GLYPICAN_1_NETWORK.profile	10
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS.profile	10
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN.profile	10
ABACAVIR_TRANSPORT_AND_METABOLISM.profile	10
VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS.profile	10
ANDROGEN_BIOSYNTHESIS.profile	10
AQUAPORIN-MEDIATED_TRANSPORT.profile	10
REGULATION_OF_IFNA_SIGNALING.profile	10
INTERFERON-GAMMA_SIGNALING_PATHWAY.profile	10
COBALAMIN__CBL,_VITAMIN_B12__TRANSPORT_AND_METABOLISM.profile	10
IL27-MEDIATED_SIGNALING_EVENTS.profile	10
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCOSE-DEPENDENT_INSULINOTROPIC_POLYPEPTIDE__GIP_.profile	10
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCAGON-LIKE_PEPTIDE-1__GLP-1_.profile	10
INCRETIN_SYNTHESIS,_SECRETION,_AND_INACTIVATION.profile	10
BIOCARTA_TH1TH2_PATHWAY.profile	10
VEGF_AND_VEGFR_SIGNALING_NETWORK.profile	10
BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS.profile	10
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY.profile	10
SYNTHESIS_OF_PE.profile	10
TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS.profile	9
VITAMIN_B5__PANTOTHENATE__METABOLISM.profile	9
SYNTHESIS_OF_LEUKOTRIENES__LT__AND_EOXINS__EX_.profile	9
CALNEXIN_CALRETICULIN_CYCLE.profile	9
HIF-2-ALPHA_TRANSCRIPTION_FACTOR_NETWORK.profile	9
ST_STAT3_PATHWAY.profile	9
DEFECTS_IN_COBALAMIN__B12__METABOLISM.profile	9
STEROID_HORMONES.profile	9
HORMONE_LIGAND-BINDING_RECEPTORS.profile	9
TNF_RECEPTOR_SUPERFAMILY__TNFSF__MEMBERS_MEDIATING_NON-CANONICAL_NF-KB_PATHWAY.profile	9
FGFR1_LIGAND_BINDING_AND_ACTIVATION.profile	9
CLASS_C_3__METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS_.profile	8
CELLULAR_RESPONSE_TO_HYPOXIA.profile	8
REGULATION_OF_HYPOXIA-INDUCIBLE_FACTOR__HIF__BY_OXYGEN.profile	8
PUTRESCINE_DEGRADATION_III.profile	8
FCGR_ACTIVATION.profile	8
CD28_DEPENDENT_PI3K_AKT_SIGNALING.profile	7
BIOCARTA_FIBRINOLYSIS_PATHWAY.profile	7
BIOCARTA_IL10_PATHWAY.profile	7
BIOCARTA_IL4_PATHWAY.profile	7
AXON_GUIDANCE_MEDIATED_BY_SEMAPHORINS.profile	7
INTERLEUKIN-6_SIGNALING.profile	7
HS-GAG_BIOSYNTHESIS.profile	7
HS-GAG_DEGRADATION.profile	7
G-CSF.profile	7
DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM.profile	6
BIOCARTA_IL22BP_PATHWAY.profile	6
FOXA2_AND_FOXA3_TRANSCRIPTION_FACTOR_NETWORKS.profile	6
SUMOYLATION_OF_RNA_BINDING_PROTEINS.profile	6
BIOCARTA_SET_PATHWAY.profile	6
NEGATIVE_REGULATION_OF_TCF-DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS.profile	6
ST_INTERLEUKIN_4_PATHWAY.profile	6
OXYGEN-DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA-INDUCIBLE_FACTOR_ALPHA.profile	5
BIOCARTA_LONGEVITY_PATHWAY.profile	5
NON-INTEGRIN_MEMBRANE-ECM_INTERACTIONS.profile	5
DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM.profile	5
FGFR2_LIGAND_BINDING_AND_ACTIVATION.profile	5
BIOCARTA_TEL_PATHWAY.profile	5
EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS.profile	5
NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY.profile	5
DISEASES_OF_METABOLISM.profile	5
P38MAPK_EVENTS.profile	5
