NetType	NetName
BRCA_mRNAArray-20160128	GUANOSINE_NUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	RETINOL_BIOSYNTHESIS
BRCA_mRNAArray-20160128	MUCIN_CORE_1_AND_CORE_2__I_O__I_-GLYCOSYLATION
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_D-_I_MYO__I_-INOSITOL__1,4,5_-TRISPHOSPHATE_METABOLISM
BRCA_mRNAArray-20160128	D-_I_MYO__I_-INOSITOL__1,4,5_-TRISPHOSPHATE_DEGRADATION
BRCA_mRNAArray-20160128	MRNA_CAPPING
BRCA_mRNAArray-20160128	GLUTATHIONE-MEDIATED_DETOXIFICATION
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_PYRIMIDINE_DEOXYRIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	TRIACYLGLYCEROL_BIOSYNTHESIS
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_SALVAGE
BRCA_mRNAArray-20160128	PUTRESCINE_DEGRADATION_III
BRCA_mRNAArray-20160128	CHOLESTEROL_BIOSYNTHESIS_III__VIA_DESMOSTEROL_
BRCA_mRNAArray-20160128	REACTIVE_OXYGEN_SPECIES_DEGRADATION
BRCA_mRNAArray-20160128	ISOLEUCINE_DEGRADATION
BRCA_mRNAArray-20160128	MEVALONATE_PATHWAY
BRCA_mRNAArray-20160128	BILE_ACID_BIOSYNTHESIS,_NEUTRAL_PATHWAY
BRCA_mRNAArray-20160128	D-_I_MYO__I_-INOSITOL__1,3,4_-TRISPHOSPHATE_BIOSYNTHESIS
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_GERANYLGERANYLDIPHOSPHATE_BIOSYNTHESIS_I__VIA_MEVALONATE_
BRCA_mRNAArray-20160128	ADENOSINE_RIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	PYRIMIDINE_DEOXYRIBONUCLEOTIDE_PHOSPHORYLATION
BRCA_mRNAArray-20160128	PHOSPHOLIPASES
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_CHOLESTEROL_BIOSYNTHESIS
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_INOSITOL_PHOSPHATE_COMPOUNDS
BRCA_mRNAArray-20160128	THE_VISUAL_CYCLE_I__VERTEBRATES_
BRCA_mRNAArray-20160128	TRIACYLGLYCEROL_DEGRADATION
BRCA_mRNAArray-20160128	STEARATE_BIOSYNTHESIS
BRCA_mRNAArray-20160128	1D-_I_MYO__I_-INOSITOL_HEXAKISPHOSPHATE_BIOSYNTHESIS_II__MAMMALIAN_
BRCA_mRNAArray-20160128	CHOLESTEROL_BIOSYNTHESIS_I
BRCA_mRNAArray-20160128	PURINE_NUCLEOTIDES_DEGRADATION
BRCA_mRNAArray-20160128	GLYCOLYSIS
BRCA_mRNAArray-20160128	PURINE_NUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_CONVERSION_OF_GLUCOSE_TO_ACETYL_COA_AND_ENTRY_INTO_THE_TCA_CYCLE
BRCA_mRNAArray-20160128	L-KYNURENINE_DEGRADATION
BRCA_mRNAArray-20160128	ANDROGEN_BIOSYNTHESIS
BRCA_mRNAArray-20160128	GUANOSINE_DEOXYRIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	VALINE_DEGRADATION
BRCA_mRNAArray-20160128	_GAMMA_-LINOLENATE_BIOSYNTHESIS
BRCA_mRNAArray-20160128	3-PHOSPHOINOSITIDE_BIOSYNTHESIS
BRCA_mRNAArray-20160128	CDP-DIACYLGLYCEROL_BIOSYNTHESIS
BRCA_mRNAArray-20160128	D-_I_MYO__I_-INOSITOL__1,4,5_-TRISPHOSPHATE_BIOSYNTHESIS
BRCA_mRNAArray-20160128	HEME_BIOSYNTHESIS
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_PURINE_NUCLEOTIDE_SALVAGE
BRCA_mRNAArray-20160128	NORADRENALINE_AND_ADRENALINE_DEGRADATION
BRCA_mRNAArray-20160128	FATTY_ACID__BETA_-OXIDATION
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_PYRIMIDINE_RIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	UTP_AND_CTP__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	SUPERPATHWAY_OF_METHIONINE_DEGRADATION
BRCA_mRNAArray-20160128	PURINE_DEOXYRIBONUCLEOSIDES_SALVAGE
BRCA_mRNAArray-20160128	LEUCINE_DEGRADATION
BRCA_mRNAArray-20160128	PYRIMIDINE_DEOXYRIBONUCLEOTIDES_BIOSYNTHESIS_FROM_CTP
BRCA_mRNAArray-20160128	ICOSAPENTAENOATE_BIOSYNTHESIS_II__METAZOA_
BRCA_mRNAArray-20160128	GUANOSINE_RIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	GLUCONEOGENESIS
BRCA_mRNAArray-20160128	ADENOSINE_DEOXYRIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	FATTY_ACID__BETA_-OXIDATION__PEROXISOME_
BRCA_mRNAArray-20160128	CHOLESTEROL_BIOSYNTHESIS_II__VIA_24,25-DIHYDROLANOSTEROL_
BRCA_mRNAArray-20160128	D-_I_MYO__I_-INOSITOL-5-PHOSPHATE_METABOLISM
BRCA_mRNAArray-20160128	PYRIMIDINE_DEOXYRIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	3-PHOSPHOINOSITIDE_DEGRADATION
BRCA_mRNAArray-20160128	TERMINAL__I_O__I_-GLYCANS_RESIDUES_MODIFICATION
BRCA_mRNAArray-20160128	NAD__I_DE_NOVO__I__BIOSYNTHESIS
BRCA_mRNAArray-20160128	TRNA_CHARGING
BRCA_mRNAArray-20160128	ALPHA6BETA4INTEGRIN
BRCA_mRNAArray-20160128	BDNF
BRCA_mRNAArray-20160128	CCR1
BRCA_mRNAArray-20160128	CCR7
BRCA_mRNAArray-20160128	CCR9
BRCA_mRNAArray-20160128	CD40
BRCA_mRNAArray-20160128	CXCR4
BRCA_mRNAArray-20160128	EPO
BRCA_mRNAArray-20160128	FAS
BRCA_mRNAArray-20160128	FLK2_FLT3
BRCA_mRNAArray-20160128	G-CSF
BRCA_mRNAArray-20160128	GDNF
BRCA_mRNAArray-20160128	GM-CSF
BRCA_mRNAArray-20160128	HEDGEHOG
BRCA_mRNAArray-20160128	ID
BRCA_mRNAArray-20160128	IFN-ALPHA
BRCA_mRNAArray-20160128	IFN-GAMMA
BRCA_mRNAArray-20160128	KITRECEPTOR
BRCA_mRNAArray-20160128	LEPTIN
BRCA_mRNAArray-20160128	M-CSF
BRCA_mRNAArray-20160128	NGF
BRCA_mRNAArray-20160128	NOTCH
BRCA_mRNAArray-20160128	TIE1_TEK
BRCA_mRNAArray-20160128	TNFSF1
