name	score
BIOCARTA_DNAFRAGMENT_PATHWAY.profile	10
CELLULAR_ROLES_OF_ANTHRAX_TOXIN.profile	10
PYRIMIDINE_SALVAGE_REACTIONS.profile	10
stage_cont	10
ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT.profile	10
BIOCARTA_P35ALZHEIMERS_PATHWAY.profile	10
FOXM1_TRANSCRIPTION_FACTOR_NETWORK.profile	10
SYNTHESIS,_SECRETION,_AND_DEACYLATION_OF_GHRELIN.profile	10
BIOCARTA_SKP2E2F_PATHWAY.profile	10
GABA_SYNTHESIS,_RELEASE,_REUPTAKE_AND_DEGRADATION.profile	10
BIOCARTA_PLATELETAPP_PATHWAY.profile	10
RAS_ACTIVATION_UOPN_CA2plus_INFUX_THROUGH_NMDA_RECEPTOR.profile	10
PHOSPHORYLATION_OF_THE_APC_C.profile	10
SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL.profile	10
SCAVENGING_BY_CLASS_A_RECEPTORS.profile	10
BIOCARTA_SET_PATHWAY.profile	10
ALPHA-LINOLENIC_ACID__ALA__METABOLISM.profile	10
ALPHA-LINOLENIC__OMEGA3__AND_LINOLEIC__OMEGA6__ACID_METABOLISM.profile	10
CREB_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII.profile	10
CDC6_ASSOCIATION_WITH_THE_ORC:ORIGIN_COMPLEX.profile	10
MITOTIC_SPINDLE_CHECKPOINT.profile	10
INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS.profile	10
INACTIVATION_OF_APC_C_VIA_DIRECT_INHIBITION_OF_THE_APC_C_COMPLEX.profile	10
DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA.profile	10
age_cont	10
SA_REG_CASCADE_OF_CYCLIN_EXPR.profile	10
ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY.profile	10
INTERLEUKIN-6_SIGNALING.profile	10
GLUTATHIONE-MEDIATED_DETOXIFICATION.profile	10
PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS.profile	10
PLASMINOGEN_ACTIVATING_CASCADE.profile	10
BIOCARTA_SRCRPTP_PATHWAY.profile	10
ZINC_TRANSPORTERS.profile	10
BIOCARTA_MPR_PATHWAY.profile	9
NUCLEAR_SIGNALING_BY_ERBB4.profile	9
PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS.profile	9
SYNTHESIS_OF_VERY_LONG-CHAIN_FATTY_ACYL-COAS.profile	9
BIOCARTA_PTC1_PATHWAY.profile	9
FATTY_ACIDS.profile	9
ISOLEUCINE_DEGRADATION.profile	9
CYP2E1_REACTIONS.profile	9
SIGNALING_MEDIATED_BY_P38-GAMMA_AND_P38-DELTA.profile	9
BIOCARTA_ACE2_PATHWAY.profile	8
IL27-MEDIATED_SIGNALING_EVENTS.profile	8
BIOCARTA_SHH_PATHWAY.profile	8
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY.profile	8
ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS.profile	8
POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS.profile	8
ACTIVATION_OF_NICOTINIC_ACETYLCHOLINE_RECEPTORS.profile	8
SA_PROGRAMMED_CELL_DEATH.profile	8
REGULATION_OF_IFNA_SIGNALING.profile	8
BIOCARTA_P27_PATHWAY.profile	7
RHO_GTPASES_ACTIVATE_IQGAPS.profile	7
LYSINE_CATABOLISM.profile	7
BIOCARTA_LECTIN_PATHWAY.profile	7
SA_CASPASE_CASCADE.profile	7
SLBP_INDEPENDENT_PROCESSING_OF_HISTONE_PRE-MRNAS.profile	7
BIOCARTA_COMP_PATHWAY.profile	7
CONVERSION_FROM_APC_C:CDC20_TO_APC_C:CDH1_IN_LATE_ANAPHASE.profile	7
HDR_THROUGH_MMEJ__ALT-NHEJ_.profile	7
HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS.profile	6
SYNTHESIS_OF_PC.profile	6
ACTIVATION_OF_THE_PRE-REPLICATIVE_COMPLEX.profile	6
PURINE_DEOXYRIBONUCLEOSIDES_SALVAGE.profile	6
GLYCOSPHINGOLIPID_METABOLISM.profile	6
AURORA_A_SIGNALING.profile	6
KERATAN_SULFATE_DEGRADATION.profile	5
DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM.profile	5
IGF1_PATHWAY.profile	5
INSULIN_IGF_PATHWAY-PROTEIN_KINASE_B_SIGNALING_CASCADE.profile	5
BIOCARTA_IL22BP_PATHWAY.profile	5
CREATION_OF_C4_AND_C2_ACTIVATORS.profile	5
SIGNALING_EVENTS_MEDIATED_BY_PRL.profile	5
GLUCURONIDATION.profile	4
PHASE_2_-_PLATEAU_PHASE.profile	4
DEPOLARIZATION_OF_THE_PRESYNAPTIC_TERMINAL_TRIGGERS_THE_OPENING_OF_CALCIUM_CHANNELS.profile	4
WNT5A-DEPENDENT_INTERNALIZATION_OF_FZD4.profile	4
ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE.profile	4
INTRINSIC_PATHWAY_FOR_APOPTOSIS.profile	4
GUANOSINE_RIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS.profile	4
APC-CDC20_MEDIATED_DEGRADATION_OF_NEK2A.profile	4
IL2_SIGNALING_EVENTS_MEDIATED_BY_PI3K.profile	4
HEDGEHOG_SIGNALING_PATHWAY.profile	4
BIOCARTA_FIBRINOLYSIS_PATHWAY.profile	3
BIOCARTA_RB_PATHWAY.profile	3
BIOCARTA_AMI_PATHWAY.profile	3
INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1.profile	3
