name	score
BIOCARTA_P35ALZHEIMERS_PATHWAY.profile	10
ACTIVATION_OF_THE_PRE-REPLICATIVE_COMPLEX.profile	10
BIOCARTA_DNAFRAGMENT_PATHWAY.profile	10
FATTY_ACIDS.profile	10
BIOCARTA_P27_PATHWAY.profile	10
FOXM1_TRANSCRIPTION_FACTOR_NETWORK.profile	10
BIOCARTA_MCM_PATHWAY.profile	10
BIOCARTA_PTC1_PATHWAY.profile	10
PYRIMIDINE_SALVAGE_REACTIONS.profile	10
SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL.profile	10
GLUTATHIONE-MEDIATED_DETOXIFICATION.profile	10
SA_REG_CASCADE_OF_CYCLIN_EXPR.profile	10
HEDGEHOG_LIGAND_BIOGENESIS.profile	10
HDR_THROUGH_MMEJ__ALT-NHEJ_.profile	10
ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT.profile	10
GABA_SYNTHESIS,_RELEASE,_REUPTAKE_AND_DEGRADATION.profile	10
BIOCARTA_MPR_PATHWAY.profile	10
BIOCARTA_SKP2E2F_PATHWAY.profile	10
SIGNALING_MEDIATED_BY_P38-GAMMA_AND_P38-DELTA.profile	10
BIOCARTA_RB_PATHWAY.profile	10
INTERLEUKIN-6_SIGNALING.profile	10
SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE.profile	10
RESOLUTION_OF_D-LOOP_STRUCTURES_THROUGH_HOLLIDAY_JUNCTION_INTERMEDIATES.profile	10
SA_PROGRAMMED_CELL_DEATH.profile	10
PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS.profile	10
ESTABLISHMENT_OF_SISTER_CHROMATID_COHESION.profile	10
KINESINS.profile	10
BIOCARTA_ACE2_PATHWAY.profile	10
BIOCARTA_SHH_PATHWAY.profile	10
INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS.profile	10
INACTIVATION_OF_APC_C_VIA_DIRECT_INHIBITION_OF_THE_APC_C_COMPLEX.profile	10
CDC6_ASSOCIATION_WITH_THE_ORC:ORIGIN_COMPLEX.profile	10
GUANOSINE_RIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS.profile	10
BIOCARTA_SET_PATHWAY.profile	10
SIGNALING_EVENTS_MEDIATED_BY_PRL.profile	10
LIGAND-GATED_ION_CHANNEL_TRANSPORT.profile	10
SA_G1_AND_S_PHASES.profile	10
SYNTHESIS_OF_PC.profile	10
