netName	maxScore	netType
ABACAVIR_TRANSPORT_AND_METABOLISM	10	rna
ANDROGEN_BIOSYNTHESIS	8	rna
AQUAPORIN-MEDIATED_TRANSPORT	9	rna
BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS	10	rna
CALNEXIN_CALRETICULIN_CYCLE	9	rna
CLASS_C_3__METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS_	9	rna
HORMONE_LIGAND-BINDING_RECEPTORS	4	rna
METABOLISM_OF_FOLATE_AND_PTERINES	9	rna
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS	10	rna
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	10	rna
POU5F1__OCT4_,_SOX2,_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION	9	rna
REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA-INDUCIBLE_FACTOR	8	rna
REGULATION_OF_IFNA_SIGNALING	10	rna
THYROXINE_BIOSYNTHESIS	10	rna
VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS	9	rna
VITAMIN_B5__PANTOTHENATE__METABOLISM	9	rna
