NetType	NetName
cnv	GUANOSINE_NUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
cnv	RETINOL_BIOSYNTHESIS
cnv	MUCIN_CORE_1_AND_CORE_2__I_O__I_-GLYCOSYLATION
cnv	SUPERPATHWAY_OF_D-_I_MYO__I_-INOSITOL__1,4,5_-TRISPHOSPHATE_METABOLISM
cnv	D-_I_MYO__I_-INOSITOL__1,4,5_-TRISPHOSPHATE_DEGRADATION
cnv	MRNA_CAPPING
cnv	SEROTONIN_DEGRADATION
cnv	GLUTATHIONE-MEDIATED_DETOXIFICATION
cnv	SUPERPATHWAY_OF_PYRIMIDINE_DEOXYRIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
cnv	TRIACYLGLYCEROL_BIOSYNTHESIS
cnv	SUPERPATHWAY_OF_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_SALVAGE
cnv	PUTRESCINE_DEGRADATION_III
cnv	CHOLESTEROL_BIOSYNTHESIS_III__VIA_DESMOSTEROL_
cnv	REACTIVE_OXYGEN_SPECIES_DEGRADATION
cnv	ISOLEUCINE_DEGRADATION
cnv	MEVALONATE_PATHWAY
cnv	BILE_ACID_BIOSYNTHESIS,_NEUTRAL_PATHWAY
cnv	D-_I_MYO__I_-INOSITOL__1,3,4_-TRISPHOSPHATE_BIOSYNTHESIS
cnv	SUPERPATHWAY_OF_GERANYLGERANYLDIPHOSPHATE_BIOSYNTHESIS_I__VIA_MEVALONATE_
cnv	ADENOSINE_RIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
cnv	PYRIMIDINE_DEOXYRIBONUCLEOTIDE_PHOSPHORYLATION
cnv	PHOSPHOLIPASES
cnv	SUPERPATHWAY_OF_CHOLESTEROL_BIOSYNTHESIS
cnv	SUPERPATHWAY_OF_INOSITOL_PHOSPHATE_COMPOUNDS
cnv	THE_VISUAL_CYCLE_I__VERTEBRATES_
cnv	TRIACYLGLYCEROL_DEGRADATION
cnv	STEARATE_BIOSYNTHESIS
cnv	1D-_I_MYO__I_-INOSITOL_HEXAKISPHOSPHATE_BIOSYNTHESIS_II__MAMMALIAN_
cnv	CHOLESTEROL_BIOSYNTHESIS_I
cnv	PURINE_NUCLEOTIDES_DEGRADATION
cnv	GLYCOLYSIS
cnv	PURINE_NUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
cnv	SUPERPATHWAY_OF_CONVERSION_OF_GLUCOSE_TO_ACETYL_COA_AND_ENTRY_INTO_THE_TCA_CYCLE
cnv	L-KYNURENINE_DEGRADATION
cnv	ANDROGEN_BIOSYNTHESIS
cnv	GUANOSINE_DEOXYRIBONUCLEOTIDES__I_DE_NOVO__I__BIOSYNTHESIS
cnv	VALINE_DEGRADATION
cnv	_GAMMA_-LINOLENATE_BIOSYNTHESIS
cnv	3-PHOSPHOINOSITIDE_BIOSYNTHESIS
cnv	CDP-DIACYLGLYCEROL_BIOSYNTHESIS
cnv	D-_I_MYO__I_-INOSITOL__1,4,5_-TRISPHOSPHATE_BIOSYNTHESIS
cnv	HEME_BIOSYNTHESIS
cnv	SPHINGOSINE_AND_SPHINGOSINE-1-PHOSPHATE_METABOLISM
cnv	SUPERPATHWAY_OF_PURINE_NUCLEOTIDE_SALVAGE
cnv	NORADRENALINE_AND_ADRENALINE_DEGRADATION
cnv	FATTY_ACID__BETA_-OXIDATION
cnv	EICOSAPENTAENOATE_BIOSYNTHESIS
cnv	CMP_PHOSPHORYLATION
