netName	maxScore	netType
ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF__SREBP_	6	rna
ACTIVATION_OF_THE_PRE-REPLICATIVE_COMPLEX	7	rna
ANDROGEN_BIOSYNTHESIS	6	rna
BIOCARTA_IL4_PATHWAY	4	rna
BIOCARTA_MTA3_PATHWAY	5	rna
BIOCARTA_STEM_PATHWAY	7	rna
CALNEXIN_CALRETICULIN_CYCLE	7	rna
DEFECTS_IN_COBALAMIN__B12__METABOLISM	8	rna
DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	8	rna
EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS	7	rna
FGFR1_LIGAND_BINDING_AND_ACTIVATION	5	rna
FGFR2_LIGAND_BINDING_AND_ACTIVATION	7	rna
GLYPICAN_1_NETWORK	7	rna
HEDGEHOG_LIGAND_BIOGENESIS	6	rna
HEDGEHOG_OFF_STATE	7	rna
HISTIDINE,_LYSINE,_PHENYLALANINE,_TYROSINE,_PROLINE_AND_TRYPTOPHAN_CATABOLISM	4	rna
METABOLISM_OF_FOLATE_AND_PTERINES	10	rna
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS	6	rna
NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY	7	rna
PASSIVE_TRANSPORT_BY_AQUAPORINS	6	rna
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	8	rna
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY	10	rna
REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP__SREBF_	6	rna
REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS	4	rna
REGULATION_OF_PYRUVATE_DEHYDROGENASE__PDH__COMPLEX	8	rna
REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA-CARBOXYLATED_PROTEINS	4	rna
RETINOL_BIOSYNTHESIS	7	rna
RIP-MEDIATED_NFKB_ACTIVATION_VIA_ZBP1	6	rna
RORA_ACTIVATES_GENE_EXPRESSION	9	rna
SYNTHESIS_OF_PC	5	rna
TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	7	rna
THE_NLRP3_INFLAMMASOME	5	rna
THYROXINE_BIOSYNTHESIS	9	rna
TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS	5	rna
VEGF_AND_VEGFR_SIGNALING_NETWORK	7	rna
clinical	10	clinical
