name	score
CLASS_C_3__METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS_.profile	10
VITAMIN_B5__PANTOTHENATE__METABOLISM.profile	10
THYROXINE_BIOSYNTHESIS.profile	10
METABOLISM_OF_FOLATE_AND_PTERINES.profile	10
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY.profile	10
PURINE_NUCLEOTIDES_DEGRADATION.profile	10
ABACAVIR_TRANSPORT_AND_METABOLISM.profile	10
TNFR1-INDUCED_PROAPOPTOTIC_SIGNALING.profile	10
ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF__SREBP_.profile	10
REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA-INDUCIBLE_FACTOR.profile	10
RORA_ACTIVATES_GENE_EXPRESSION.profile	10
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS.profile	10
NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY.profile	10
EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS.profile	10
LIPID_AND_LIPOPROTEIN_METABOLISM.profile	10
REGULATION_OF_IFNA_SIGNALING.profile	10
GLUTAMATE_BINDING,_ACTIVATION_OF_AMPA_RECEPTORS_AND_SYNAPTIC_PLASTICITY.profile	10
TRAFFICKING_OF_AMPA_RECEPTORS.profile	10
AQUAPORIN-MEDIATED_TRANSPORT.profile	10
CALNEXIN_CALRETICULIN_CYCLE.profile	9
DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM.profile	9
HEDGEHOG_OFF_STATE.profile	9
WNT_SIGNALING.profile	9
VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS.profile	9
CD28_DEPENDENT_PI3K_AKT_SIGNALING.profile	9
PASSIVE_TRANSPORT_BY_AQUAPORINS.profile	8
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN.profile	8
LIGAND-DEPENDENT_CASPASE_ACTIVATION.profile	8
SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI-_AND_TRIPHOSPHATES.profile	8
REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN.profile	8
IL2.profile	8
SUMOYLATION_OF_RNA_BINDING_PROTEINS.profile	8
ANDROGEN_BIOSYNTHESIS.profile	8
FATTY_ACYL-COA_BIOSYNTHESIS.profile	8
SIGNALING_BY_HEDGEHOG.profile	7
HEDGEHOG_LIGAND_BIOGENESIS.profile	7
WNT_SIGNALING_NETWORK.profile	7
CHYLOMICRON-MEDIATED_LIPID_TRANSPORT.profile	7
INCRETIN_SYNTHESIS,_SECRETION,_AND_INACTIVATION.profile	7
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCAGON-LIKE_PEPTIDE-1__GLP-1_.profile	7
POU5F1__OCT4_,_SOX2,_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION.profile	7
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCOSE-DEPENDENT_INSULINOTROPIC_POLYPEPTIDE__GIP_.profile	7
BIOCARTA_EPHA4_PATHWAY.profile	7
NCAM1_INTERACTIONS.profile	7
FGFR1_LIGAND_BINDING_AND_ACTIVATION.profile	7
REV-MEDIATED_NUCLEAR_EXPORT_OF_HIV_RNA.profile	7
BIOCARTA_VITCB_PATHWAY.profile	7
HUNTINGTON_DISEASE.profile	7
DEFECTIVE_EXT1_CAUSES_EXOSTOSES_1,_TRPS2_AND_CHDS.profile	7
DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2.profile	7
SA_TRKA_RECEPTOR.profile	7
INTERLEUKIN-6_SIGNALING.profile	7
PHENYLALANINE_AND_TYROSINE_CATABOLISM.profile	7
BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS.profile	6
AMINE_LIGAND-BINDING_RECEPTORS.profile	6
BIOCARTA_PML_PATHWAY.profile	6
ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS.profile	6
BIOCARTA_NUCLEARRS_PATHWAY.profile	6
UTP_AND_CTP__I_DE_NOVO__I__BIOSYNTHESIS.profile	6
CANONICAL_WNT_SIGNALING_PATHWAY.profile	6
FCGR_ACTIVATION.profile	6
REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP__SREBF_.profile	6
HS-GAG_BIOSYNTHESIS.profile	6
P2Y_RECEPTORS.profile	6
GPVI-MEDIATED_ACTIVATION_CASCADE.profile	6
SUPERPATHWAY_OF_PYRIMIDINE_DEOXYRIBONUCLEOSIDE_SALVAGE.profile	5
TRNA_PROCESSING_IN_THE_NUCLEUS.profile	5
GLYPICAN_1_NETWORK.profile	5
TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR.profile	5
CASP8_ACTIVITY_IS_INHIBITED.profile	5
