name	score
HEDGEHOG_OFF_STATE.profile	10
METABOLISM_OF_FOLATE_AND_PTERINES.profile	10
HEDGEHOG_LIGAND_BIOGENESIS.profile	10
REGULATION_OF_PYRUVATE_DEHYDROGENASE__PDH__COMPLEX.profile	10
THYROXINE_BIOSYNTHESIS.profile	10
ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF__SREBP_.profile	10
BIOCARTA_STEM_PATHWAY.profile	10
NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY.profile	10
EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS.profile	10
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY.profile	10
FGFR2_LIGAND_BINDING_AND_ACTIVATION.profile	10
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN.profile	10
BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS.profile	10
TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS.profile	10
TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX.profile	10
DEFECTS_IN_COBALAMIN__B12__METABOLISM.profile	10
TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT.profile	10
TRANSPORT_OF_THE_SLBP_INDEPENDENT_MATURE_MRNA.profile	10
CHOLESTEROL_BIOSYNTHESIS_II__VIA_24,25-DIHYDROLANOSTEROL_.profile	10
CHOLESTEROL_BIOSYNTHESIS_I.profile	10
CHOLESTEROL_BIOSYNTHESIS_III__VIA_DESMOSTEROL_.profile	10
TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA.profile	10
FGFR1_LIGAND_BINDING_AND_ACTIVATION.profile	10
REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA-INDUCIBLE_FACTOR.profile	9
SIGNALING_BY_HEDGEHOG.profile	9
WNT_SIGNALING.profile	9
