name	score
VITAMIN_B5__PANTOTHENATE__METABOLISM.profile	10
ANDROGEN_BIOSYNTHESIS.profile	10
ABACAVIR_TRANSPORT_AND_METABOLISM.profile	10
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS.profile	10
VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS.profile	10
AQUAPORIN-MEDIATED_TRANSPORT.profile	10
TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS.profile	10
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN.profile	10
PASSIVE_TRANSPORT_BY_AQUAPORINS.profile	10
BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS.profile	10
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCOSE-DEPENDENT_INSULINOTROPIC_POLYPEPTIDE__GIP_.profile	10
SYNTHESIS_OF_LEUKOTRIENES__LT__AND_EOXINS__EX_.profile	10
REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA-INDUCIBLE_FACTOR.profile	10
OXYGEN-DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA-INDUCIBLE_FACTOR_ALPHA.profile	10
HORMONE_LIGAND-BINDING_RECEPTORS.profile	10
THYROXINE_BIOSYNTHESIS.profile	9
SA_REG_CASCADE_OF_CYCLIN_EXPR.profile	9
RMTS_METHYLATE_HISTONE_ARGININES.profile	9
CD28_DEPENDENT_PI3K_AKT_SIGNALING.profile	9
IL2.profile	9
SIGNALING_EVENTS_MEDIATED_BY_HDAC_CLASS_II.profile	9
FCGR_ACTIVATION.profile	9
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCAGON-LIKE_PEPTIDE-1__GLP-1_.profile	9
CLASS_C_3__METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS_.profile	9
INCRETIN_SYNTHESIS,_SECRETION,_AND_INACTIVATION.profile	9
REGULATION_OF_IFNA_SIGNALING.profile	9
BIOCARTA_GPCR_PATHWAY.profile	9
METHYLATION.profile	9
PHASE_II_CONJUGATION.profile	9
FGFR1_LIGAND_BINDING_AND_ACTIVATION.profile	9
BIOCARTA_SET_PATHWAY.profile	9
METABOLISM_OF_FOLATE_AND_PTERINES.profile	8
CREATINE_METABOLISM.profile	8
POU5F1__OCT4_,_SOX2,_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION.profile	8
P2Y_RECEPTORS.profile	8
INTERFERON-GAMMA_SIGNALING_PATHWAY.profile	8
TRK_RECEPTOR_SIGNALING_MEDIATED_BY_PI3K_AND_PLC-GAMMA.profile	8
LIPOPROTEIN_METABOLISM.profile	8
CHYLOMICRON-MEDIATED_LIPID_TRANSPORT.profile	8
REGULATION_OF_SIGNALING_BY_NODAL.profile	8
NEGATIVE_REGULATION_OF_TCF-DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS.profile	8
COBALAMIN__CBL,_VITAMIN_B12__TRANSPORT_AND_METABOLISM.profile	8
HIF-2-ALPHA_TRANSCRIPTION_FACTOR_NETWORK.profile	8
BIOCARTA_EPHA4_PATHWAY.profile	7
SYNTHESIS_OF_PE.profile	7
MISCELLANEOUS_SUBSTRATES.profile	7
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY.profile	7
CALNEXIN_CALRETICULIN_CYCLE.profile	7
EICOSANOIDS.profile	7
CELLULAR_RESPONSE_TO_HYPOXIA.profile	7
REGULATION_OF_HYPOXIA-INDUCIBLE_FACTOR__HIF__BY_OXYGEN.profile	7
LIPID_AND_LIPOPROTEIN_METABOLISM.profile	7
SODIUM_CALCIUM_EXCHANGERS.profile	7
ABC-FAMILY_PROTEINS_MEDIATED_TRANSPORT.profile	7
WNT_SIGNALING_NETWORK.profile	6
GPVI-MEDIATED_ACTIVATION_CASCADE.profile	6
AMINE_LIGAND-BINDING_RECEPTORS.profile	6
RHO_GTPASES_ACTIVATE_ROCKS.profile	6
PLATELET_AGGREGATION__PLUG_FORMATION_.profile	6
INTEGRIN_ALPHAIIB_BETA3_SIGNALING.profile	6
TNFR1-INDUCED_PROAPOPTOTIC_SIGNALING.profile	6
CALCIUM_SIGNALING_IN_THE_CD4plus_TCR_PATHWAY.profile	6
