name	score
METABOLISM_OF_FOLATE_AND_PTERINES.profile	10
RORA_ACTIVATES_GENE_EXPRESSION.profile	10
THYROXINE_BIOSYNTHESIS.profile	10
REGULATION_OF_IFNA_SIGNALING.profile	10
BIOCARTA_STEM_PATHWAY.profile	10
DERMATAN_SULFATE_BIOSYNTHESIS.profile	10
COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING.profile	10
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS.profile	10
ACTIVATION_OF_THE_PRE-REPLICATIVE_COMPLEX.profile	10
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN.profile	9
VEGF_AND_VEGFR_SIGNALING_NETWORK.profile	9
FGFR2_LIGAND_BINDING_AND_ACTIVATION.profile	9
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY.profile	9
BIOCARTA_IL5_PATHWAY.profile	9
DEFECTS_IN_COBALAMIN__B12__METABOLISM.profile	9
DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM.profile	9
COBALAMIN__CBL,_VITAMIN_B12__TRANSPORT_AND_METABOLISM.profile	9
RAP1_SIGNALLING.profile	9
ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS.profile	9
HEDGEHOG_OFF_STATE.profile	8
ANDROGEN_BIOSYNTHESIS.profile	8
REACTIVE_OXYGEN_SPECIES_DEGRADATION.profile	8
HEDGEHOG_LIGAND_BIOGENESIS.profile	8
SYNTHESIS_OF_PC.profile	8
IL2.profile	8
INTERLEUKIN-6_SIGNALING.profile	8
BIOCARTA_VDR_PATHWAY.profile	8
CALNEXIN_CALRETICULIN_CYCLE.profile	8
NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY.profile	8
EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS.profile	8
ACTIVATED_POINT_MUTANTS_OF_FGFR2.profile	8
FGFR2_MUTANT_RECEPTOR_ACTIVATION.profile	8
REGULATION_OF_PYRUVATE_DEHYDROGENASE__PDH__COMPLEX.profile	8
RETINOL_BIOSYNTHESIS.profile	8
SIGNALING_EVENTS_MEDIATED_BY_HDAC_CLASS_II.profile	8
HEPARAN_SULFATE_HEPARIN__HS-GAG__METABOLISM.profile	8
WNT_SIGNALING.profile	7
PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC.profile	7
BIOCARTA_IL4_PATHWAY.profile	7
ST_MYOCYTE_AD_PATHWAY.profile	7
RECYCLING_OF_BILE_ACIDS_AND_SALTS.profile	7
ATF4_ACTIVATES_GENES.profile	7
VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS.profile	7
BIOCARTA_TH1TH2_PATHWAY.profile	7
AQUAPORIN-MEDIATED_TRANSPORT.profile	7
DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM.profile	7
DISEASES_OF_GLYCOSYLATION.profile	7
GLYPICAN_1_NETWORK.profile	7
N-GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE.profile	7
ACTIVATION_OF_MATRIX_METALLOPROTEINASES.profile	6
BIOCARTA_MTA3_PATHWAY.profile	6
VALINE_DEGRADATION.profile	6
NEGATIVE_REGULATION_OF_TCF-DEPENDENT_SIGNALING_BY_WNT_LIGAND_ANTAGONISTS.profile	6
ABACAVIR_TRANSPORT_AND_METABOLISM.profile	6
ST_G_ALPHA_I_PATHWAY.profile	6
BILE_SALT_AND_ORGANIC_ANION_SLC_TRANSPORTERS.profile	6
TRAF6_MEDIATED_INDUCTION_OF_PROINFLAMMATORY_CYTOKINES.profile	6
ST_G_ALPHA_S_PATHWAY.profile	6
RIP-MEDIATED_NFKB_ACTIVATION_VIA_ZBP1.profile	6
TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS.profile	6
REV-MEDIATED_NUCLEAR_EXPORT_OF_HIV_RNA.profile	6
POU5F1__OCT4_,_SOX2,_NANOG_ACTIVATE_GENES_RELATED_TO_PROLIFERATION.profile	6
PASSIVE_TRANSPORT_BY_AQUAPORINS.profile	6
DEFECTIVE_B3GAT3_CAUSES_JDSSDHD.profile	6
DEFECTIVE_B4GALT7_CAUSES_EDS,_PROGEROID_TYPE.profile	6
DEFECTIVE_B3GALT6_CAUSES_EDSP2_AND_SEMDJL1.profile	6
A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS.profile	6
CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM.profile	6
OPSINS.profile	6
INTERLEUKIN-7_SIGNALING.profile	6
SIGNALING_EVENTS_MEDIATED_BY_HDAC_CLASS_III.profile	6
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCOSE-DEPENDENT_INSULINOTROPIC_POLYPEPTIDE__GIP_.profile	5
ACYL_CHAIN_REMODELLING_OF_PI.profile	5
TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX.profile	5
SYNTHESIS,_SECRETION,_AND_INACTIVATION_OF_GLUCAGON-LIKE_PEPTIDE-1__GLP-1_.profile	5
INSULIN_IGF_PATHWAY-PROTEIN_KINASE_B_SIGNALING_CASCADE.profile	5
TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX.profile	5
PERK_REGULATES_GENE_EXPRESSION.profile	5
TNFR2_NON-CANONICAL_NF-KB_PATHWAY.profile	5
TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION.profile	5
FERTILIZATION.profile	5
REPRODUCTION.profile	5
REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP__SREBF_.profile	5
DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES.profile	5
CANONICAL_WNT_SIGNALING_PATHWAY.profile	5
ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF__SREBP_.profile	5
ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE.profile	5
AMINE-DERIVED_HORMONES.profile	5
TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR.profile	5
G_ALPHA__S__SIGNALLING_EVENTS.profile	4
ST_ADRENERGIC.profile	4
REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS.profile	4
SIGNALING_BY_HEDGEHOG.profile	4
TRAF6_MEDIATED_NF-KB_ACTIVATION.profile	4
HISTIDINE,_LYSINE,_PHENYLALANINE,_TYROSINE,_PROLINE_AND_TRYPTOPHAN_CATABOLISM.profile	4
WNT_SIGNALING_NETWORK.profile	4
BIOCARTA_INSULIN_PATHWAY.profile	4
JAK_STAT_SIGNALING_PATHWAY.profile	4
L-KYNURENINE_DEGRADATION.profile	4
IL-6-TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS.profile	4
WNT_LIGAND_BIOGENESIS_AND_TRAFFICKING.profile	4
ECM_PROTEOGLYCANS.profile	4
TOLL_LIKE_RECEPTOR_10__TLR10__CASCADE.profile	4
TOLL_LIKE_RECEPTOR_5__TLR5__CASCADE.profile	4
MYD88_CASCADE_INITIATED_ON_PLASMA_MEMBRANE.profile	4
SYNTHESIS_OF_PE.profile	4
GPVI-MEDIATED_ACTIVATION_CASCADE.profile	4
ALZHEIMER_DISEASE-AMYLOID_SECRETASE_PATHWAY.profile	4
EICOSANOID_LIGAND-BINDING_RECEPTORS.profile	4
PLATELET_AGGREGATION__PLUG_FORMATION_.profile	4
NUCLEOTIDE-BINDING_DOMAIN,_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR__NLR__SIGNALING_PATHWAYS.profile	4
CD28_DEPENDENT_PI3K_AKT_SIGNALING.profile	4
BIOCARTA_SARS_PATHWAY.profile	4
BIOCARTA_DEATH_PATHWAY.profile	4
APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS.profile	4
UNWINDING_OF_DNA.profile	4
TRANSPORT_OF_THE_SLBP_INDEPENDENT_MATURE_MRNA.profile	4
ETHANOL_OXIDATION.profile	4
CHAPERONIN-MEDIATED_PROTEIN_FOLDING.profile	4
SIGNALING_BY_RETINOIC_ACID.profile	4
INCRETIN_SYNTHESIS,_SECRETION,_AND_INACTIVATION.profile	3
BIOCARTA_TEL_PATHWAY.profile	3
LIGAND-DEPENDENT_CASPASE_ACTIVATION.profile	3
AMINE_LIGAND-BINDING_RECEPTORS.profile	3
INSULIN_PATHWAY.profile	3
REGULATION_OF_NUCLEAR_BETA_CATENIN_SIGNALING_AND_TARGET_GENE_TRANSCRIPTION.profile	3
REGULATION_OF_FZD_BY_UBIQUITINATION.profile	3
MTOR_SIGNALING_PATHWAY.profile	3
RAF-INDEPENDENT_MAPK1_3_ACTIVATION.profile	3
G_ALPHA__Z__SIGNALLING_EVENTS.profile	3
C-MYC_PATHWAY.profile	3
TGF-BETA_RECEPTOR_SIGNALING_IN_EMT__EPITHELIAL_TO_MESENCHYMAL_TRANSITION_.profile	3
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS.profile	3
TOLL_LIKE_RECEPTOR_3__TLR3__CASCADE.profile	3
MYD88-INDEPENDENT_TLR3_TLR4_CASCADE.profile	3
TRIF-MEDIATED_TLR3_TLR4_SIGNALING.profile	3
MYD88_DEPENDENT_CASCADE_INITIATED_ON_ENDOSOME.profile	3
TOLL_LIKE_RECEPTOR_7_8__TLR7_8__CASCADE.profile	3
CASPASE_CASCADE_IN_APOPTOSIS.profile	3
IL27-MEDIATED_SIGNALING_EVENTS.profile	3
CS_DS_DEGRADATION.profile	3
REGULATION_OF_IFNG_SIGNALING.profile	3
POLO-LIKE_KINASE_MEDIATED_EVENTS.profile	3
CHK1_CHK2_CDS1__MEDIATED_INACTIVATION_OF_CYCLIN_B:CDK1_COMPLEX.profile	3
GRB2:SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS.profile	3
NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION.profile	3
TOLL_LIKE_RECEPTOR_TLR1:TLR2_CASCADE.profile	3
TOLL_LIKE_RECEPTOR_2__TLR2__CASCADE.profile	3
TOLL_LIKE_RECEPTOR_TLR6:TLR2_CASCADE.profile	3
MYD88:MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE.profile	3
P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS.profile	3
INTEGRIN_ALPHAIIB_BETA3_SIGNALING.profile	3
TOLL_LIKE_RECEPTOR_9__TLR9__CASCADE.profile	3
THE_NLRP3_INFLAMMASOME.profile	3
INFLAMMASOMES.profile	3
BIOCARTA_MCM_PATHWAY.profile	3
BIOCARTA_GPCR_PATHWAY.profile	3
GAMMA_CARBOXYLATION,_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION.profile	3
GLYCOSPHINGOLIPID_METABOLISM.profile	3
BIOCARTA_SET_PATHWAY.profile	3
REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN.profile	3
TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS.profile	3
TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA.profile	3
BIOCARTA_SKP2E2F_PATHWAY.profile	3
HORMONE_LIGAND-BINDING_RECEPTORS.profile	3
REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA-CARBOXYLATED_PROTEINS.profile	3
TERMINATION_OF_O-GLYCAN_BIOSYNTHESIS.profile	3
SEMA3A-PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION.profile	3
TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING.profile	2
BIOCARTA_EGFR_SMRTE_PATHWAY.profile	2
PORPHYRIN_METABOLISM.profile	2
TGF-BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS.profile	2
CANONICAL_NF-KAPPAB_PATHWAY.profile	2
TRIACYLGLYCEROL_BIOSYNTHESIS.profile	2
ISOLEUCINE_DEGRADATION.profile	2
BRANCHED-CHAIN_AMINO_ACID_CATABOLISM.profile	2
ST_STAT3_PATHWAY.profile	2
SHC-MEDIATED_CASCADE:FGFR1.profile	2
BIOCARTA_RNA_PATHWAY.profile	2
HOMOLOGY_DIRECTED_REPAIR.profile	2
TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS.profile	2
ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT__ESCRT_.profile	2
