netName	maxScore	netType
ACTIVATION_OF_THE_PRE-REPLICATIVE_COMPLEX	8	rna
ANDROGEN_BIOSYNTHESIS	5	rna
BIOCARTA_STEM_PATHWAY	7	rna
CALNEXIN_CALRETICULIN_CYCLE	7	rna
DEFECTS_IN_COBALAMIN__B12__METABOLISM	9	rna
DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM	9	rna
FGFR2_LIGAND_BINDING_AND_ACTIVATION	8	rna
GAMMA-CARBOXYLATION,_TRANSPORT,_AND_AMINO-TERMINAL_CLEAVAGE_OF_PROTEINS	3	rna
GLYPICAN_1_NETWORK	7	rna
HEDGEHOG_LIGAND_BIOGENESIS	6	rna
HEDGEHOG_OFF_STATE	7	rna
METABOLISM_OF_FOLATE_AND_PTERINES	9	rna
METABOLISM_OF_WATER-SOLUBLE_VITAMINS_AND_COFACTORS	5	rna
PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	9	rna
REACTIONS_SPECIFIC_TO_THE_COMPLEX_N-GLYCAN_SYNTHESIS_PATHWAY	10	rna
REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP__SREBF_	6	rna
REGULATION_OF_PYRUVATE_DEHYDROGENASE__PDH__COMPLEX	8	rna
REMOVAL_OF_AMINOTERMINAL_PROPEPTIDES_FROM_GAMMA-CARBOXYLATED_PROTEINS	4	rna
RETINOL_BIOSYNTHESIS	7	rna
RORA_ACTIVATES_GENE_EXPRESSION	8	rna
SYNTHESIS_OF_PC	6	rna
TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	8	rna
THE_NLRP3_INFLAMMASOME	5	rna
THYROXINE_BIOSYNTHESIS	10	rna
VEGF_AND_VEGFR_SIGNALING_NETWORK	7	rna
